Training CBOW_CrossEntropyLoss_SGD-lr0.020...
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 22 | Loss 0.03268090305959583
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 23 | Loss 0.0326278798132455
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 24 | Loss 0.032578927667364074
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 25 | Loss 0.032531017304161615
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 26 | Loss 0.03248599657838992
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 27 | Loss 0.03244351337914352
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 28 | Loss 0.03240258994390809
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 29 | Loss 0.032362862521748234
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 30 | Loss 0.03232510517465446
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 31 | Loss 0.03228931208261181
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 32 | Loss 0.03225402242186374
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 33 | Loss 0.03222054278577018
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 34 | Loss 0.03218877423407672
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 35 | Loss 0.03215736943331864
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 36 | Loss 0.03212744582636949
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 37 | Loss 0.032098176971104043
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 38 | Loss 0.032070255449303295
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 39 | Loss 0.03204364052086247
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 40 | Loss 0.032017307863147514
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 41 | Loss 0.031991376786465235
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 42 | Loss 0.03196615575160884
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 43 | Loss 0.03194220057000761
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 44 | Loss 0.03191937156130236
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 45 | Loss 0.031896475622424994
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 46 | Loss 0.031874106394902076
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 47 | Loss 0.03185241810913022
